Date,Japonica Index,USDJPY
2022-09-06,134.8,140.43
2022-10-04,139.5,144.52
2022-11-08,145.5,146.62
2022-12-06,159.4,136.65
2023-01-05,160.9,132.25
2023-02-02,157.9,128.62
2023-03-08,145.8,137.39
2023-04-05,149.9,131.49
2023-05-03,147.1,136.47
2023-06-07,141.5,139.53
2023-07-05,140.0,144.41
2023-08-02,139.7,142.97
2023-09-06,124.4,147.47
2023-10-04,113.3,149.19
2023-11-08,110.8,150.4
2023-12-06,110.1,147.18
2024-01-05,110.1,144.76
2024-02-02,110.1,146.45
2024-03-08,104.5,147.87
2024-04-05,103.4,151.29
2024-05-03,103.6,153.04
2024-06-07,98.9,155.7
2024-07-05,96.8,161.36
2024-08-02,98.3,149.2
2024-09-06,97.8,143.39
